datum	nev	helyszin
2001.09.02	Belga	Belgium
1990.07.15	Brit	Nagy-Britannia
1999.05.02	San Marinoi	San Marino
1994.11.06	Jap?n	Jap?n
1985.05.19	Monacoi	Monaco
1958.01.19	Argent?n	Argent?na
1984.08.26	Holland	Hollandia
1966.07.03	Francia	Franciaorsz?g
1986.05.25	Belga	Belgium
1963.06.30	Francia	Franciaorsz?g
1977.10.23	Jap?n	Jap?n
1968.10.06	USA	USA
1989.10.01	Spanyol	Spanyolorsz?g
1985.06.23	USA	USA
1988.05.29	Mexik?i	Mexik?
1984.03.25	Brazil	Braz?lia
1960.08.14	Portug?l	Portug?lia
2006.04.23	San Marinoi	San Marino
2005.06.19	USA	USA
1991.09.08	Olasz	Olaszorsz?g
1995.10.01	Eur?pa	N?metorsz?g
1999.08.01	N?met	N?metorsz?g
2003.06.01	Monacoi	Monaco
1984.06.03	Monacoi	Monaco
1974.08.18	Osztr?k	Ausztria
1993.10.24	Jap?n	Jap?n
1993.07.11	Brit	Nagy-Britannia
1973.08.05	N?met	N?metorsz?g
1988.08.07	Magyar	Magyarorsz?g
1981.08.16	Osztr?k	Ausztria
1979.04.29	Spanyol	Spanyolorsz?g
1998.09.27	Luxemburgi	N?metorsz?g
1980.10.05	USA	USA
1990.07.29	N?met	N?metorsz?g
1967.10.01	USA	USA
1970.07.05	Francia	Franciaorsz?g
1988.09.25	Portug?l	Portug?lia
2005.07.24	N?met	N?metorsz?g
1974.06.23	Holland	Hollandia
1970.06.07	Belga	Belgium
2005.07.03	Francia	Franciaorsz?g
1983.08.28	Holland	Hollandia
2000.08.27	Belga	Belgium
1974.05.12	Belga	Belgium
1970.08.16	Osztr?k	Ausztria
2004.07.25	N?met	N?metorsz?g
1978.06.04	Spanyol	Spanyolorsz?g
1991.08.11	Magyar	Magyarorsz?g
1986.10.26	Ausztr?l	Ausztr?lia
1995.10.29	Jap?n	Jap?n
1978.07.02	Francia	Franciaorsz?g
2000.04.09	San Marinoi	San Marino
1993.11.07	Ausztr?l	Ausztr?lia
2000.07.02	Francia	Franciaorsz?g
1989.08.27	Belga	Belgium
1989.07.30	N?met	N?metorsz?g
1998.08.02	N?met	N?metorsz?g
1998.03.08	Ausztr?l	Ausztr?lia
1998.08.16	Magyar	Magyarorsz?g
1973.06.17	Sv?d	Sv?dorsz?g
1998.06.07	Kanadai	Kanada
1975.10.05	USA	USA
2000.09.10	Olasz	Olaszorsz?g
1996.05.05	San Marinoi	San Marino
1980.09.14	Olasz	San Marino
2006.10.01	K?nai	K?na
1992.08.16	Magyar	Magyarorsz?g
1970.10.04	USA	USA
1982.08.15	Osztr?k	Ausztria
1998.07.26	Osztr?k	Ausztria
2005.03.06	Ausztr?l	Ausztr?lia
1968.06.09	Belga	Belgium
1953.08.02	N?met	N?metorsz?g
1998.11.01	Jap?n	Jap?n
1989.04.23	San Marinoi	San Marino
1985.06.16	Kanadai	Kanada
1970.09.06	Olasz	Olaszorsz?g
1999.07.11	Brit	Nagy-Britannia
1971.08.15	Osztr?k	Ausztria
1959.07.05	Francia	Franciaorsz?g
1991.06.16	Mexik?i	Mexik?
1978.01.15	Argent?n	Argent?na
1970.06.21	Holland	Hollandia
1954.07.17	Brit	Nagy-Britannia
1988.11.13	Ausztr?l	Ausztr?lia
2006.08.27	T?r?k	T?r?korsz?g
1955.05.22	Monacoi	Monaco
1965.06.13	Belga	Belgium
1985.08.18	Osztr?k	Ausztria
1971.06.20	Holland	Hollandia
2004.04.04	Bahreini	Bahrain
1964.07.11	Brit	Nagy-Britannia
1982.07.25	Francia	Franciaorsz?g
1974.01.13	Argent?n	Argent?na
1964.05.24	Holland	Hollandia
1961.05.22	Holland	Hollandia
1983.06.12	Kanadai	Kanada
1986.05.11	Monacoi	Monaco
1985.07.07	Francia	Franciaorsz?g
1990.08.12	Magyar	Magyarorsz?g
1973.04.29	Spanyol	Spanyolorsz?g
1989.05.28	Mexik?i	Mexik?
1993.09.26	Portug?l	Portug?lia
2004.09.26	K?nai	K?na
1975.06.08	Sv?d	Sv?dorsz?g
1975.07.19	Brit	Nagy-Britannia
1984.04.07	D?l-Afrikai	D?l-Afrika
1957.07.07	Francia	Franciaorsz?g
1998.04.12	Argent?n	Argent?na
1958.08.03	N?met	N?metorsz?g
1993.09.12	Olasz	Olaszorsz?g
2000.06.18	Kanadai	Kanada
1980.03.30	USA	USA
1987.10.18	Mexik?i	Mexik?
1997.05.11	Monacoi	Monaco
1984.10.21	Portug?l	Portug?lia
1982.04.04	USA	USA
1986.03.23	Brazil	Braz?lia
1958.10.19	Marokk?i	Marokk?
1990.06.10	Kanadai	Kanada
2006.10.22	Brazil	Braz?lia
2000.10.22	Mal?j	Malaysia
2002.04.14	San Marinoi	San Marino
1998.06.28	Francia	Franciaorsz?g
1969.05.18	Monacoi	Monaco
1973.10.07	USA	USA
1971.10.03	USA	USA
1977.05.08	Spanyol	Spanyolorsz?g
1967.10.22	Mexik?i	Mexik?
1991.03.24	Brazil	Braz?lia
1997.08.24	Belga	Belgium
1962.07.08	Francia	Franciaorsz?g
1974.01.27	Brazil	Braz?lia
1961.09.10	Olasz	Olaszorsz?g
1986.07.13	Brit	Nagy-Britannia
1968.01.01	D?l-Afrikai	D?l-Afrika
1990.09.30	Spanyol	Spanyolorsz?g
1992.03.22	Mexik?i	Mexik?
1960.11.20	USA	USA
2006.05.07	Eur?pa	N?metorsz?g
1964.09.06	Olasz	Olaszorsz?g
1999.06.13	Kanadai	Kanada
1997.06.29	Francia	Franciaorsz?g
1997.06.15	Kanadai	Kanada
2005.04.24	San Marinoi	San Marino
2002.09.29	USA	USA
1997.04.13	Argent?n	Argent?na
1969.03.01	D?l-Afrikai	D?l-Afrika
1974.08.04	N?met	N?metorsz?g
1986.09.07	Olasz	Olaszorsz?g
1967.05.07	Monacoi	Monaco
2000.05.21	Eur?pa	N?metorsz?g
1966.10.23	Mexik?i	Mexik?
2000.07.16	Osztr?k	Ausztria
1980.08.17	Osztr?k	Ausztria
1983.03.13	Brazil	Braz?lia
1992.10.25	Jap?n	Jap?n
2005.05.29	Eur?pa	N?metorsz?g
1975.05.11	Monacoi	Monaco
2000.04.23	Brit	Nagy-Britannia
1988.06.12	Kanadai	Kanada
1997.07.27	N?met	N?metorsz?g
1979.01.21	Argent?n	Argent?na
1982.07.03	Holland	Hollandia
1982.04.25	San Marinoi	San Marino
1960.06.19	Belga	Belgium
1982.03.21	Brazil	Braz?lia
2001.05.13	Osztr?k	Ausztria
2000.09.24	USA	USA
1950.06.04	Sv?jci	Sv?jc
1983.06.05	USA	USA
1993.05.09	Spanyol	Spanyolorsz?g
1967.06.04	Holland	Hollandia
1997.08.10	Magyar	Magyarorsz?g
1968.09.08	Olasz	Olaszorsz?g
1982.06.13	Kanadai	Kanada
1978.10.08	Kanadai	Kanada
1993.08.29	Belga	Belgium
2001.03.18	Mal?j	Malaysia
1963.07.20	Brit	Nagy-Britannia
1988.07.03	Francia	Franciaorsz?g
1984.08.05	N?met	N?metorsz?g
1989.05.07	Monacoi	Monaco
1979.07.01	Francia	Franciaorsz?g
1977.03.05	D?l-Afrikai	D?l-Afrika
1952.09.07	Olasz	Olaszorsz?g
1969.10.19	Mexik?i	Mexik?
1966.08.07	N?met	N?metorsz?g
1991.08.25	Belga	Belgium
1988.06.19	USA	USA
1967.08.27	Kanadai	Kanada
1970.08.02	N?met	N?metorsz?g
1971.04.18	Spanyol	Spanyolorsz?g
2001.08.19	Magyar	Magyarorsz?g
1977.04.03	USA	USA
1995.04.09	Argent?n	Argent?na
1968.05.12	Spanyol	Spanyolorsz?g
1971.09.05	Olasz	Olaszorsz?g
1984.05.20	Francia	Franciaorsz?g
2003.06.15	Kanadai	Kanada
1961.06.18	Belga	Belgium
1987.09.27	Spanyol	Spanyolorsz?g
1988.05.15	Monacoi	Monaco
1985.04.21	Portug?l	Portug?lia
1991.07.07	Francia	Franciaorsz?g
1981.06.21	Spanyol	Spanyolorsz?g
1991.07.14	Brit	Nagy-Britannia
1959.12.12	USA	USA
1976.09.12	Olasz	Olaszorsz?g
1969.07.19	Brit	Nagy-Britannia
1995.03.26	Brazil	Braz?lia
1957.01.13	Argent?n	Argent?na
1975.01.12	Argent?n	Argent?na
1955.01.16	Argent?n	Argent?na
1997.09.07	Olasz	Olaszorsz?g
1962.12.29	D?l-Afrikai	D?l-Afrika
1966.09.04	Olasz	Olaszorsz?g
2006.07.16	Francia	Franciaorsz?g
